nomcreateur,datenaissance,datemort,nationalité,lieunaissance,lieumort,mouvement
Pierre-Jules Mene,1810-03-25T00:00:00Z,1879-05-20T00:00:00Z,France,Paris,Paris,
Paul Klee,1879-12-18T00:00:00Z,1940-06-29T00:00:00Z,"Reich allemand,Reich allemand,Reich allemand,Reich allemand,Reich allemand,Reich allemand",Münchenbuchsee,Muralto,surréalisme
Alphonse Colas,1818-09-25T00:00:00Z,1887-07-11T00:00:00Z,France,Lille,Lille,
Georges Haquette,1854-05-02T00:00:00Z,1906-01-01T00:00:00Z,France,Paris,Dieppe,
Adrien Guignet,1816-01-21T00:00:00Z,1854-05-19T00:00:00Z,France,Annecy,Paris,
Pierre Cartellier,1757-12-02T00:00:00Z,1831-06-12T00:00:00Z,France,Paris,Paris,
Édouard Detaille,1848-10-05T00:00:00Z,1912-12-24T00:00:00Z,"France,France",Paris,Paris,art académique
Charles Amédée Philippe van Loo,1719-08-29T00:00:00Z,1795-11-15T00:00:00Z,"France,France",Rivoli,Paris,
Pierre-François Berruer,1733-12-17T00:00:00Z,1797-04-04T00:00:00Z,France,Paris,Paris,
Louis Daguerre,1787-11-18T00:00:00Z,1851-07-12T00:00:00Z,"France,France",Cormeilles-en-Parisis,Bry-sur-Marne,
Μύρων,,,Athènes,,,art de la Grèce antique
Jacques-Philippe Le Sueur,1759-03-24T00:00:00Z,1830-12-04T00:00:00Z,France,Paris,Paris,
Samuel van Hoogstraten,1627-08-02T00:00:00Z,1678-10-19T00:00:00Z,Pays-Bas,Dordrecht,Dordrecht,baroque
Pierre Bonnard,1867-10-03T00:00:00Z,1947-01-23T00:00:00Z,France,Fontenay-aux-Roses,Le Cannet,nabi
François Quesnel,1542-01-01T00:00:00Z,1619-01-01T00:00:00Z,France,Édimbourg,Paris,
Jacques-Eugène Feyen,1815-11-13T00:00:00Z,1908-07-24T00:00:00Z,France,Bey-sur-Seille,Paris,Naturalisme
Auguste Arnaud,1825-08-22T00:00:00Z,1883-09-30T00:00:00Z,France,La Rochelle,Chantilly,
Évariste-Vital Luminais,1821-10-13T00:00:00Z,1896-05-14T00:00:00Z,France,Nantes,Paris,
Alexis Grimou,1678-05-24T00:00:00Z,1733-05-01T00:00:00Z,France,Argenteuil,Paris,
Jan van Eyck,1390-01-01T00:00:00Z,1441-07-18T00:00:00Z,"Pays-Bas méridionaux,Pays-Bas méridionaux",Principauté de Liège,Bruges,Primitif flamand
Jules Grün,1868-05-26T00:00:00Z,1938-01-24T00:00:00Z,France,Paris,Neuilly-sur-Seine,postimpressionnisme
Ker-Xavier Roussel,1867-12-10T00:00:00Z,1944-06-06T00:00:00Z,France,Metz,L'Étang-la-Ville,
Guillaume Fouace,1837-05-22T00:00:00Z,1895-01-07T00:00:00Z,France,Réville,Paris,réalisme
Gaspard Dughet,1613-06-07T00:00:00Z,1675-05-27T00:00:00Z,"France,France,France,France,France,France,France,France",Rome,Rome,
Gaspard Dughet,1613-06-07T00:00:00Z,1675-05-27T00:00:00Z,"France,France,France,France",Rome,Rome,
Frédéric Villot,1809-10-31T00:00:00Z,1875-05-27T00:00:00Z,France,Liège,Paris,
Eugène Devéria,1805-04-22T00:00:00Z,1865-02-03T00:00:00Z,France,Paris,Pau,romantisme
Gilles Aillaud,1928-06-05T00:00:00Z,2005-03-24T00:00:00Z,France,Paris,Paris,
Eugène Delacroix,1798-04-26T00:00:00Z,1863-08-13T00:00:00Z,France,Saint-Maurice,Paris,romantisme
René Charpentier,1680-01-01T00:00:00Z,1723-05-11T00:00:00Z,France,Cuillé,Paris,
Marie-Denise Villers,1774-01-01T00:00:00Z,1821-08-19T00:00:00Z,France,Paris,Paris,néo-classicisme
Henri Pinta,1856-06-15T00:00:00Z,1944-10-18T00:00:00Z,France,Marseille,Paris,
Nicolas Desportes,1718-07-15T00:00:00Z,1787-09-29T00:00:00Z,France,Buzancy,Paris,
Jean Francis Auburtin,1866-12-02T00:00:00Z,1930-05-22T00:00:00Z,France,10e arrondissement de Paris,Dieppe,symbolisme
Jean Fautrier,1898-05-16T00:00:00Z,1964-07-21T00:00:00Z,France,8e arrondissement de Paris,Châtenay-Malabry,art informel
Jean-Achille Benouville,1815-07-15T00:00:00Z,1891-02-06T00:00:00Z,France,Paris,7e arrondissement de Paris,
Jean-Baptiste Oudry,1686-03-17T00:00:00Z,1755-04-30T00:00:00Z,France,Paris,Beauvais,
Gustave Courtois,1852-05-18T00:00:00Z,1923-11-25T00:00:00Z,France,Pusey,Neuilly-sur-Seine,
Jean-Baptiste Hugues,1849-04-15T00:00:00Z,1930-10-26T00:00:00Z,France,Marseille,16e arrondissement de Paris,
Benjamin Ulmann,1829-05-24T00:00:00Z,1884-02-24T00:00:00Z,France,Blotzheim,Paris,
Daniele da Volterra,1509-01-01T00:00:00Z,1566-04-24T00:00:00Z,"Italie,Italie,Italie",Volterra,Rome,
José de Ribera,1591-01-12T00:00:00Z,1652-09-02T00:00:00Z,"Espagne,Espagne",Xàtiva,Naples,baroque
Charles Fortin,1815-06-12T00:00:00Z,1865-10-19T00:00:00Z,France,Paris,Paris,
Jean-Hilaire Belloc,1786-11-27T00:00:00Z,1866-12-09T00:00:00Z,France,Nantes,Paris,
Марк Захарович Шагал,1887-07-07T00:00:00Z,1985-03-28T00:00:00Z,"France,France,Union des républiques socialistes soviétiques,Union des républiques socialistes soviétiques,Empire russe,Empire russe",Liozna,Saint-Paul-de-Vence,expressionnisme
Robert Lefèvre,1755-09-24T00:00:00Z,1830-10-03T00:00:00Z,France,Bayeux,Paris,
Louis-Claude Vassé,1716-01-01T00:00:00Z,1772-11-30T00:00:00Z,France,Paris,Paris,
Charles Lacoste,1870-03-03T00:00:00Z,1959-03-01T00:00:00Z,France,Floirac,Paris,
Leonardo da Vinci,1452-04-24T00:00:00Z,1519-05-12T00:00:00Z,"République florentine,République florentine",Anchiano,château du Clos Lucé,Haute Renaissance
Валентин Серов,1865-01-19T00:00:00Z,1911-12-05T00:00:00Z,Empire russe,Saint-Pétersbourg,Moscou,impressionnisme
Jean Lemaire,1598-01-01T00:00:00Z,1659-01-01T00:00:00Z,France,Dammartin-en-Goële,Gaillon,
Sebald Beham,1500-01-01T00:00:00Z,1550-12-02T00:00:00Z,"Allemagne,cité libre impériale de Nuremberg",Nuremberg,Francfort-sur-le-Main,Renaissance allemande
Georges Clairin,1843-09-11T00:00:00Z,1919-09-02T00:00:00Z,"France,France",Paris,Clohars-Carnoët,orientalisme
Jean-André Rixens,1846-11-30T00:00:00Z,1925-02-21T00:00:00Z,France,Saint-Gaudens,Paris,
Tintoretto,1519-01-01T00:00:00Z,1594-05-31T00:00:00Z,"république de Venise,république de Venise",Venise,Venise,maniérisme
François Barois,1656-01-01T00:00:00Z,1726-10-10T00:00:00Z,France,Paris,Paris,
Pierre-Henri de Valenciennes,1750-12-06T00:00:00Z,1819-02-16T00:00:00Z,France,Toulouse,Paris,
Hubert-Denis Etxeberri,1867-09-21T00:00:00Z,1952-04-03T00:00:00Z,France,Bayonne,Bayonne,Art déco
Adolphe d'Hastrel,1805-10-04T00:00:00Z,1875-01-01T00:00:00Z,"France,France,France,France",Neuwiller-lès-Saverne,Nantes,
John Hamilton Mortimer,1740-09-17T00:00:00Z,1779-02-04T00:00:00Z,Angleterre,Eastbourne,Londres,
François Clouet,1510-01-01T00:00:00Z,1572-09-22T00:00:00Z,France,Tours,Paris,
Marc Chagall,1887-07-07T00:00:00Z,1985-03-28T00:00:00Z,"France,France,Union des républiques socialistes soviétiques,Union des républiques socialistes soviétiques,Empire russe,Empire russe",Liozna,Saint-Paul-de-Vence,expressionnisme
Achille Laugé,1861-08-29T00:00:00Z,1944-06-02T00:00:00Z,"France,France",Arzens,Cailhau,pointillisme
Ary Scheffer,1795-02-10T00:00:00Z,1858-06-15T00:00:00Z,"France,Pays-Bas,France,Pays-Bas",Dordrecht,Argenteuil,romantisme
Ary Scheffer,1795-02-10T00:00:00Z,1858-06-15T00:00:00Z,"Pays-Bas,France,Pays-Bas,France",Dordrecht,Argenteuil,romantisme
Thomas Gainsborough,1727-05-14T00:00:00Z,1788-08-02T00:00:00Z,Royaume-Uni,Sudbury,Londres,
Constant Troyon,1810-08-28T00:00:00Z,1865-03-20T00:00:00Z,"France,France",Sèvres,Paris,École de Barbizon
Georges Jacquot,1794-02-15T00:00:00Z,1874-11-25T00:00:00Z,France,Nancy,Paris,
Carel de Moor,1655-02-25T00:00:00Z,1738-02-16T00:00:00Z,"Pays-Bas,Provinces-Unies",Leyde,Warmond,
Josse Lieferinxe,1500-01-01T00:00:00Z,1508-01-01T00:00:00Z,France,Enghien,Marseille,
Ferdinand Barbedienne,1810-08-06T00:00:00Z,1892-03-21T00:00:00Z,France,L'Oudon,Paris,
Alexandre Antigna,1817-03-07T00:00:00Z,1878-02-26T00:00:00Z,France,Orléans,Paris,réalisme
François Garnier,1600-01-01T00:00:00Z,1672-01-01T00:00:00Z,France,Paris,Paris,
Jean-Charles Cazin,1841-05-25T00:00:00Z,1901-03-26T00:00:00Z,"France,France",Samer,Le Lavandou,Naturalisme
Gustave Doré,1833-01-06T00:00:00Z,1883-01-23T00:00:00Z,"France,France",Strasbourg,Paris,
Francis Picabia,1879-01-22T00:00:00Z,1953-11-30T00:00:00Z,"France,France,France",Paris,Paris,Dada
Jozef Israëls,1824-01-27T00:00:00Z,1911-08-12T00:00:00Z,Pays-Bas,Groningue,La Haye,École de la Haye
Giulio Cesare Procaccini,1574-06-09T00:00:00Z,1625-11-14T00:00:00Z,États pontificaux,Bologne,Milan,
Jules Lefebvre,1834-03-14T00:00:00Z,1912-02-24T00:00:00Z,Français,Tournan-en-Brie,9e arrondissement de Paris,art académique
Clément-Louis-Marie-Anne Belle,1722-11-16T00:00:00Z,1806-09-29T00:00:00Z,France,Paris,Paris,
Jean Metzinger,1883-06-24T00:00:00Z,1956-11-03T00:00:00Z,"France,France",Nantes,Paris,cubisme de salon
Tony Robert-Fleury,1837-09-01T00:00:00Z,1912-12-08T00:00:00Z,France,Paris,Viroflay,
Jean-Bruno Gassies,1786-10-25T00:00:00Z,1832-10-12T00:00:00Z,France,Bordeaux,Paris,néo-classicisme
Pierre Patel,1604-01-01T00:00:00Z,1676-01-01T00:00:00Z,France,Chauny,Paris,
Jules Worms,1832-12-16T00:00:00Z,1924-11-25T00:00:00Z,France,Paris,Paris,
Eva Gonzalès,1849-04-19T00:00:00Z,1883-05-05T00:00:00Z,"France,France,France,France",Marruecos,Paris,impressionnisme
Marianne Loir,1715-01-01T00:00:00Z,1769-01-01T00:00:00Z,France,Paris,Paris,
Jean Joseph Vaudechamp,1790-12-20T00:00:00Z,1864-08-04T00:00:00Z,France,Rambervillers,Neuilly-sur-Seine,
Ralf Winkler,1939-10-05T00:00:00Z,2017-05-02T00:00:00Z,"Allemagne,République démocratique allemande",Dresde,Zurich,néo-expressionnisme
Camille Anastacia Kendall Maria Nicola Claudel,1864-12-08T00:00:00Z,1943-10-19T00:00:00Z,"France,France",Villeneuve-sur-Fère,Montfavet,expressionnisme
Adolphe Déchenaud,1868-06-19T00:00:00Z,1926-12-27T00:00:00Z,France,Saint-Ambreuil,Neuilly-sur-Seine,
François Jouffroy,1806-02-01T00:00:00Z,1882-06-25T00:00:00Z,France,Dijon,Laval,
Germain Pilon,1525-01-01T00:00:00Z,1590-02-03T00:00:00Z,France,Paris,Paris,
藤田嗣治,1886-11-27T00:00:00Z,1968-01-29T00:00:00Z,"Japon,France,Japon,France",Tokyo,Zurich,expressionnisme
Félix Trutat,1824-02-25T00:00:00Z,1848-03-07T00:00:00Z,France,Dijon,Dijon,réalisme
Paul Jamin,1853-02-09T00:00:00Z,1903-07-10T00:00:00Z,France,Paris,Paris,
James Pryde,1866-03-30T00:00:00Z,1941-03-01T00:00:00Z,"Royaume-Uni,Royaume-Uni,Royaume-Uni de Grande-Bretagne et d'Irlande,Royaume-Uni de Grande-Bretagne et d'Irlande",Édimbourg,Kensington,
Hughes Taraval,1729-02-27T00:00:00Z,1785-10-19T00:00:00Z,France,Paris,Paris,
Luigi Russolo,1885-04-30T00:00:00Z,1947-02-04T00:00:00Z,"Italie,royaume d'Italie",Portogruaro,Laveno-Mombello,futurisme
Emmanuel Fougerat,1869-12-25T00:00:00Z,1958-09-03T00:00:00Z,France,Rennes,Paris,
Charles-Alphonse-Paul Bellay,1826-03-22T00:00:00Z,1900-01-01T00:00:00Z,France,Paris,Paris,
Thomas Couture,1815-12-21T00:00:00Z,1879-03-30T00:00:00Z,"France,France",Senlis,Villiers-le-Bel,art académique
Louis Joseph Watteau,1731-04-10T00:00:00Z,1798-08-27T00:00:00Z,France,Valenciennes,Lille,
Alexandre-Gabriel Decamps,1803-03-03T00:00:00Z,1860-08-22T00:00:00Z,"France,France",Paris,Fontainebleau,romantisme
Alexandre-Gabriel Decamps,1803-03-03T00:00:00Z,1860-08-22T00:00:00Z,"France,France,France,France",Paris,Fontainebleau,romantisme
Aubin Vouet,1595-06-13T00:00:00Z,1641-05-01T00:00:00Z,France,Paris,Paris,
Henri Charles Antoine Baron,1816-06-23T00:00:00Z,1885-09-11T00:00:00Z,France,Besançon,Genève,
Léon Bonnat,1833-06-20T00:00:00Z,1922-09-08T00:00:00Z,France,Bayonne,Monchy-Saint-Éloi,art académique
Edmé Bouchardon,1698-05-29T00:00:00Z,1762-07-27T00:00:00Z,royaume de France,Chaumont,Paris,baroque
André Suréda,1872-06-05T00:00:00Z,1930-01-07T00:00:00Z,France,Versailles,Versailles,
Fernand Maillaud,1862-12-12T00:00:00Z,1948-08-30T00:00:00Z,France,Mouhet,Paris,
Giovanni Bellini,1430-01-01T00:00:00Z,1516-11-29T00:00:00Z,"république de Venise,république de Venise",Venise,Venise,Renaissance
Eugène Lami,1800-01-12T00:00:00Z,1890-12-19T00:00:00Z,France,Paris,Paris,
Alphonse Hirsch,1843-05-02T00:00:00Z,1884-07-15T00:00:00Z,France,Paris,Vanves,
Mathieu Le Nain,1607-01-01T00:00:00Z,1677-04-20T00:00:00Z,France,Laon,Paris,
David Teniers II,1610-12-15T00:00:00Z,1690-04-25T00:00:00Z,"Pays-Bas méridionaux,Pays-Bas méridionaux",Anvers,Bruxelles,baroque
Ernest Augustin Gendron,1817-03-17T00:00:00Z,1881-07-11T00:00:00Z,France,Paris,Paris,
Lippo Memmi,1291-01-01T00:00:00Z,1356-01-01T00:00:00Z,"Italie,Italie",Sienne,Sienne,Pré-Renaissance
Alexandre-François Desportes,1661-02-24T00:00:00Z,1743-04-20T00:00:00Z,France,Champigneulles,Paris,
Jean-Germain Drouais,1763-11-25T00:00:00Z,1788-07-15T00:00:00Z,France,Paris,Rome,
Frédéric Régamey,1849-07-04T00:00:00Z,1925-12-04T00:00:00Z,France,Paris,16e arrondissement de Paris,
Auguste Préault,1809-10-09T00:00:00Z,1879-01-11T00:00:00Z,"France,France",Paris,Paris,
Louis-Pierre Baltard,1764-07-09T00:00:00Z,1846-01-22T00:00:00Z,France,Paris,Lyon,
François Grenier de Saint-Martin,1793-07-22T00:00:00Z,1867-12-19T00:00:00Z,"France,France,France,France",Paris,Paris,
Jan Fyt,1611-03-15T00:00:00Z,1661-09-11T00:00:00Z,Pays-Bas méridionaux,Anvers,Anvers,peinture baroque flamande
Sophie Chéradame,,,France,,,
Peder Severin Krøyer,1851-07-23T00:00:00Z,1909-11-21T00:00:00Z,"Norvège,Danemark",Stavanger,Skagen,impressionnisme
Pierre Bontemps,,,France,,,
Charles Gomien,1808-04-25T00:00:00Z,1876-04-12T00:00:00Z,France,Villers-lès-Nancy,8e arrondissement de Paris,
Adélaïde Labille-Guiard,1749-04-11T00:00:00Z,1803-04-24T00:00:00Z,France,Paris,Paris,rococo
Adolphe Lalyre,1848-10-01T00:00:00Z,1933-01-23T00:00:00Z,France,Rouvres-en-Woëvre,Courbevoie,symbolisme
Jean-Baptiste Théodon,1645-01-01T00:00:00Z,1713-01-01T00:00:00Z,France,Vendrest,Paris,
Pierre Mignard,1612-11-17T00:00:00Z,1695-05-30T00:00:00Z,"France,France",Troyes,Paris,classicisme
Adolf Schreye,1828-07-09T00:00:00Z,1899-07-29T00:00:00Z,Allemagne,Francfort-sur-le-Main,Kronberg im Taunus,orientalisme
Louis Anquetin,1861-01-26T00:00:00Z,1932-08-19T00:00:00Z,France,Étrépagny,Paris,cloisonnisme
Jean-Baptiste André Gautier-Dagoty,1740-01-01T00:00:00Z,1786-01-01T00:00:00Z,France,Paris,Paris,
Jean-Pierre Cortot,1787-08-20T00:00:00Z,1843-08-12T00:00:00Z,France,Paris,Paris,
Étienne Jeaurat,1699-02-09T00:00:00Z,1789-12-14T00:00:00Z,France,Paris,Versailles,
Simon Guillain,1589-06-15T00:00:00Z,1658-12-26T00:00:00Z,France,Paris,Paris,
Prosper Lafaye,1806-09-23T00:00:00Z,1883-03-03T00:00:00Z,France,Mont-Saint-Sulpice,Paris,
川村清雄,1852-06-13T00:00:00Z,1934-05-16T00:00:00Z,Japon,Banchō,Tenri,Yō-ga
Marguerite Gérard,1761-01-28T00:00:00Z,1837-05-18T00:00:00Z,France,Grasse,Paris,
Henri Blanc-Fontaine,1819-01-16T00:00:00Z,1897-12-20T00:00:00Z,France,Grenoble,Isère,
Antoine-Denis Chaudet,1763-03-03T00:00:00Z,1810-04-19T00:00:00Z,France,Paris,Paris,
Jean-Baptiste Descamps,1714-08-28T00:00:00Z,1791-06-30T00:00:00Z,France,Dunkerque,Rouen,
Jean Benner,1836-03-28T00:00:00Z,1906-10-28T00:00:00Z,France,Mulhouse,Paris,
Jean-Joseph Vinache,1696-01-01T00:00:00Z,1754-12-01T00:00:00Z,France,Paris,Paris,
Marie-Guillemine Benoist,1768-12-18T00:00:00Z,1826-10-08T00:00:00Z,France,Paris,Paris,néo-classicisme
Gustave Caillebotte,1848-08-19T00:00:00Z,1894-02-21T00:00:00Z,France,Paris,Gennevilliers,impressionnisme
Jacob Duck,1600-01-01T00:00:00Z,1667-01-28T00:00:00Z,Pays-Bas,Utrecht,Utrecht,
Charles de Tournemine,1812-10-25T00:00:00Z,1872-12-22T00:00:00Z,France,Toulon,Toulon,
Georges Gasté,1869-08-30T00:00:00Z,1910-01-01T00:00:00Z,France,6e arrondissement de Paris,Madurai,orientalisme
Jean-François Bony,1754-02-24T00:00:00Z,1825-01-01T00:00:00Z,France,Givors,Paris,
Albert Oehlen,,,Allemagne,,,art contemporain
Pierre de Montreuil,1200-01-01T00:00:00Z,1267-03-24T00:00:00Z,France,Montreuil,Paris,
Charles Euphrasie Kuwasseg,1833-09-29T00:00:00Z,1904-10-27T00:00:00Z,France,Draveil,8e arrondissement de Paris,
Claude Bonnefond,1796-03-27T00:00:00Z,1860-06-27T00:00:00Z,France,Lyon,Lyon,
Joos van Craesbeeck,1605-01-01T00:00:00Z,1660-01-01T00:00:00Z,Pays-Bas méridionaux,Linter,Bruxelles,baroque
Louis Hector Leroux,1829-12-27T00:00:00Z,1900-11-11T00:00:00Z,France,Verdun,Angers,
Bernard Buffet,1928-07-10T00:00:00Z,1999-10-04T00:00:00Z,France,Paris,Tourtour,expressionnisme
John Everett Millais,1829-06-08T00:00:00Z,1896-08-13T00:00:00Z,"Royaume-Uni de Grande-Bretagne et d'Irlande,Royaume-Uni de Grande-Bretagne et d'Irlande",Southampton,Palace Gate,préraphaélisme
Claude Ramey,1754-10-24T00:00:00Z,1838-06-05T00:00:00Z,France,Dijon,Paris,
Pierre Puvis de Chavannes,1824-12-14T00:00:00Z,1898-10-24T00:00:00Z,France,Lyon,Paris,symbolisme
Barthélemy Prieur,1536-01-01T00:00:00Z,1611-01-01T00:00:00Z,France,Berzieux,Paris,
Édouard Vuillard,1868-11-11T00:00:00Z,1940-06-21T00:00:00Z,"France,France",Cuiseaux,La Baule-Escoublac,postimpressionnisme
Michel Martin Drolling,1786-03-07T00:00:00Z,1851-01-09T00:00:00Z,France,Paris,Paris,néo-classicisme
Bartolomé Esteban Murillo,1617-12-01T00:00:00Z,1682-04-03T00:00:00Z,"Espagne,Espagne",Séville,Séville,peinture baroque
Paulus Pieterszoon Potter,1625-11-20T00:00:00Z,1654-01-17T00:00:00Z,Provinces-Unies,Enkhuizen,Amsterdam,baroque
Jean Nocret,1615-10-26T00:00:00Z,1672-11-12T00:00:00Z,France,Nancy,Paris,
Jean-Baptiste Deshays de Colleville,1729-11-27T00:00:00Z,1765-02-10T00:00:00Z,France,Rouen,Paris,
Othon Coubine,1883-10-22T00:00:00Z,1969-10-17T00:00:00Z,"France,France,Tchécoslovaquie,Tchécoslovaquie,France,France,Tchécoslovaquie,Tchécoslovaquie",Boskovice,Malesice,
Henri Lebert,1794-11-19T00:00:00Z,1862-09-27T00:00:00Z,France,Thann,Colmar,
Guillaume Boichot,1735-08-30T00:00:00Z,1814-12-09T00:00:00Z,France,Chalon-sur-Saône,Paris,
Isidore Pils,1815-11-07T00:00:00Z,1875-09-03T00:00:00Z,"France,France,France,France",Paris,Douarnenez,Naturalisme
Abraham Brueghel,1631-11-28T00:00:00Z,1690-01-01T00:00:00Z,"Pays-Bas méridionaux,Pays-Bas méridionaux",Anvers,Naples,
Lucas Cranach der Ältere,1472-10-13T00:00:00Z,1553-10-26T00:00:00Z,"Saint-Empire romain germanique,Saint-Empire romain germanique",Kronach,Weimar,Renaissance allemande
Éloi Firmin Féron,1802-12-01T00:00:00Z,1876-01-01T00:00:00Z,France,Paris,Conflans-Sainte-Honorine,
Ferdinand Wachsmuth,1802-03-21T00:00:00Z,1869-11-14T00:00:00Z,France,Mulhouse,Versailles,
Pieter Paul Rubens,1577-07-08T00:00:00Z,1640-05-30T00:00:00Z,Pays-Bas espagnols,Siegen,Anvers,peinture baroque flamande
Louise Moillon,1610-01-01T00:00:00Z,1696-12-20T00:00:00Z,France,Paris,Paris,baroque
Caspar Netscher,1639-01-01T00:00:00Z,1684-01-15T00:00:00Z,Pays-Bas,Heidelberg,La Haye,
Antoon van Díck,1599-03-22T00:00:00Z,1641-12-09T00:00:00Z,Pays-Bas méridionaux,Anvers,Londres,peinture baroque
Élisabeth-Sophie Chéron,1648-10-03T00:00:00Z,1711-09-03T00:00:00Z,France,Paris,Paris,musique classique
Dominique Fortuné Maggesi,1801-05-01T00:00:00Z,1892-02-06T00:00:00Z,France,Carrare,Bordeaux,
Henri-Horace Roland Delaporte,1724-01-01T00:00:00Z,1793-11-23T00:00:00Z,France,Paris,Paris,
Pierre Puget,1620-10-16T00:00:00Z,1694-12-02T00:00:00Z,France,Marseille,Marseille,baroque
Alexandre-Hyacinthe Dunouy,1757-03-11T00:00:00Z,1841-11-11T00:00:00Z,France,Paris,Jouy-en-Josas,
Henri-Edmond Cross,1856-05-20T00:00:00Z,1910-05-16T00:00:00Z,"France,France",Douai,Le Lavandou,néo-impressionnisme
Henri Matisse,1869-12-31T00:00:00Z,1954-11-03T00:00:00Z,"France,France,France,France,France",Le Cateau-Cambrésis,Nice,impressionnisme
Jean-Jacques Le Barbier,1738-11-29T00:00:00Z,1826-05-07T00:00:00Z,"France,France,France,France",Rouen,Paris,orientalisme
Louis-Ernest Barrias,1841-04-13T00:00:00Z,1905-02-04T00:00:00Z,France,Paris,17e arrondissement de Paris,Neo-Baroque
Michelangelo Merisi da Caravaggio,1571-10-08T00:00:00Z,1610-07-18T00:00:00Z,"duché de Milan,duché de Milan,duché de Milan,duché de Milan",Caravaggio,Porto Ercole,baroque
Mariano Fortuny,1871-05-11T00:00:00Z,1949-05-03T00:00:00Z,Espagne,Grenade,Venise,
Martin Fréminet,1567-10-04T00:00:00Z,1619-06-18T00:00:00Z,France,Paris,Paris,École de Fontainebleau
Paolo Veronese,1528-01-01T00:00:00Z,1588-04-09T00:00:00Z,"république de Venise,république de Venise,république de Venise,république de Venise,république de Venise,république de Venise,république de Venise,république de Venise",Vérone,Venise,maniérisme
Isaac Moillon,1614-07-08T00:00:00Z,1673-05-26T00:00:00Z,France,Paris,Paris,
Sebastian Stoskopff,1597-07-13T00:00:00Z,1657-02-10T00:00:00Z,Saint-Empire romain germanique,Strasbourg,Idstein,
Augustin Félix Fortin,1763-01-01T00:00:00Z,1832-07-04T00:00:00Z,France,Paris,Paris,
Henri de Toulouse-Lautrec,1864-11-24T00:00:00Z,1901-09-09T00:00:00Z,"Troisième République française,Second Empire,France",Albi,Saint-André-du-Bois,postimpressionnisme
Henri de Toulouse-Lautrec,1864-11-24T00:00:00Z,1901-09-09T00:00:00Z,"France,Troisième République française,Second Empire",Albi,Saint-André-du-Bois,postimpressionnisme
Henri de Toulouse-Lautrec,1864-11-24T00:00:00Z,1901-09-09T00:00:00Z,"France,Second Empire,Troisième République française",Albi,Saint-André-du-Bois,postimpressionnisme
Rosalie Filleul,1752-01-01T00:00:00Z,1794-06-24T00:00:00Z,France,Paris,Paris,
Jean-Jacques Lagrenée,1739-09-18T00:00:00Z,1821-02-13T00:00:00Z,France,Paris,Paris,
Georges Lallemant,1575-01-01T00:00:00Z,1636-01-01T00:00:00Z,France,Nancy,Paris,
Hendrik van Balen,1570-01-01T00:00:00Z,1632-07-17T00:00:00Z,Pays-Bas méridionaux,Anvers,Anvers,
Paul Sébillot,1843-02-06T00:00:00Z,1918-04-23T00:00:00Z,France,Matignon,Paris,École de Pont-Aven
Pierre-François Lehoux,1803-06-01T00:00:00Z,1892-01-01T00:00:00Z,"France,France",Paris,Paris,
Ary Renan,1857-10-28T00:00:00Z,1900-08-04T00:00:00Z,France,Paris,Paris,
Pierre Girieud,1876-06-17T00:00:00Z,1948-12-26T00:00:00Z,France,Paris,Paris,
Henri Lebasque,1865-09-25T00:00:00Z,1937-08-07T00:00:00Z,France,Champigné,Le Cannet,postimpressionnisme
Gabriel de Saint-Aubin,1724-04-14T00:00:00Z,1780-02-14T00:00:00Z,"France,France",Paris,Paris,
Séraphine de Senlis,1864-09-03T00:00:00Z,1942-12-11T00:00:00Z,"France,France,France,France",Arsy,Clermont,art naïf
Théophile Vauchelet,1802-02-24T00:00:00Z,1873-04-22T00:00:00Z,France,Passy,Paris,art académique
David d'Angers,1788-03-12T00:00:00Z,1856-01-06T00:00:00Z,"France,France",Angers,Paris,néo-classicisme
Joseph-François Schwebach,1769-03-19T00:00:00Z,1823-12-10T00:00:00Z,France,Metz,Paris,
André Dauchez,1870-05-17T00:00:00Z,1948-05-15T00:00:00Z,France,7e arrondissement de Paris,7e arrondissement de Paris,
Amable Louis Claude Pagnest,1790-06-09T00:00:00Z,1819-05-25T00:00:00Z,France,Paris,Paris,
Toussaint Dubreuil,1561-01-01T00:00:00Z,1602-11-22T00:00:00Z,France,Paris,Paris,École de Fontainebleau
Armand Gautier,1825-06-19T00:00:00Z,1894-01-29T00:00:00Z,France,Lille,Paris,
Auguste Raffet,1804-03-02T00:00:00Z,1860-02-16T00:00:00Z,France,Paris,Gênes,
Émile Schuffenecker,1851-12-08T00:00:00Z,1934-07-31T00:00:00Z,France,Fresne-Saint-Mamès,Paris,École de Pont-Aven
Viktor Weißhaupt,1848-03-06T00:00:00Z,1905-02-23T00:00:00Z,Allemagne,Munich,Karlsruhe,
Henri Foreau,1866-02-19T00:00:00Z,1938-04-01T00:00:00Z,France,Paris,Paris,
Jean-Léon Gérôme,1824-05-11T00:00:00Z,1904-01-10T00:00:00Z,"France,France,France,France,France,France,France,France",Vesoul,9e arrondissement de Paris,orientalisme
Joseph Siffred Duplessis,1725-09-22T00:00:00Z,1802-04-01T00:00:00Z,France,Carpentras,Versailles,
Antonin Mercié,1845-10-30T00:00:00Z,1916-12-13T00:00:00Z,France,Toulouse,Paris,
Claudius Jacquand,1803-12-11T00:00:00Z,1878-04-03T00:00:00Z,"France,France",Lyon,Paris,art académique
