nomcreateur,datenaissance,datemort,nationalité,lieunaissance,lieumort,mouvement
Jean-Frédéric Schall,1752-03-14T00:00:00Z,1825-03-24T00:00:00Z,France,Strasbourg,Paris,rococo
Robert Lefèvre,1755-09-24T00:00:00Z,1830-10-03T00:00:00Z,France,Bayeux,Paris,
Marcelle Cahn,1895-03-01T00:00:00Z,1981-09-20T00:00:00Z,France,Strasbourg,Neuilly-sur-Seine,purisme
Jacques Buirette,1655-01-01T00:00:00Z,1699-03-03T00:00:00Z,France,Paris,Paris,classicisme
François Garnier,1600-01-01T00:00:00Z,1672-01-01T00:00:00Z,France,Paris,Paris,
Antoine Dieu,1662-01-01T00:00:00Z,1727-04-12T00:00:00Z,France,Paris,Paris,
George-Daniel de Monfreid,1856-03-14T00:00:00Z,1929-11-26T00:00:00Z,France,New York,Corneilla-de-Conflent,
Louis Muraton,1855-11-06T00:00:00Z,1919-11-20T00:00:00Z,France,Tours,14e arrondissement de Paris,
Girolamo Muziano,1532-01-01T00:00:00Z,1592-04-27T00:00:00Z,Italie,Acquafredda,Rome,
Emmanuel Fougerat,1869-12-25T00:00:00Z,1958-09-03T00:00:00Z,France,Rennes,Paris,
Sophie Chéradame,,,France,,,
Louis Abel-Truchet,1857-12-29T00:00:00Z,1918-09-09T00:00:00Z,France,Versailles,Auxerre,Belle Époque
Hector Hanoteau,1823-05-25T00:00:00Z,1890-04-07T00:00:00Z,France,Decize,Cercy-la-Tour,
Pierre-Nolasque Bergeret,1782-01-30T00:00:00Z,1863-02-22T00:00:00Z,France,Bordeaux,Paris,
Charles Cuisin,1814-03-23T00:00:00Z,1859-06-22T00:00:00Z,France,Paris,Troyes,
Jean-Baptiste Santerre,1651-03-23T00:00:00Z,1717-11-21T00:00:00Z,France,Magny-en-Vexin,Paris,classicisme
Rosalie Filleul,1752-01-01T00:00:00Z,1794-06-24T00:00:00Z,France,Paris,Paris,
Gabriel de Saint-Aubin,1724-04-14T00:00:00Z,1780-02-14T00:00:00Z,France,Paris,Paris,
Lucas Cranach der Ältere,1472-10-13T00:00:00Z,1553-10-26T00:00:00Z,Saint-Empire romain germanique,Kronach,Weimar,Renaissance allemande
Eugène Fromentin,1820-10-24T00:00:00Z,1876-08-27T00:00:00Z,France,La Rochelle,La Rochelle,orientalisme
Jean Barbault,1718-08-08T00:00:00Z,1762-05-28T00:00:00Z,France,Viarmes,Rome,
Adam Frans van der Meulen,1632-01-11T00:00:00Z,1690-10-15T00:00:00Z,"royaume de France,Pays-Bas méridionaux",Bruxelles,Paris,baroque
Adam Frans van der Meulen,1632-01-11T00:00:00Z,1690-10-15T00:00:00Z,"Pays-Bas méridionaux,royaume de France",Bruxelles,Paris,baroque
Pierre Mazeline,1633-01-01T00:00:00Z,1708-02-07T00:00:00Z,France,Rouen,Paris,
Maître du Parement de Narbonne,,,France,,,gothique international
Nicolas François Octave Tassaert,1800-07-26T00:00:00Z,1874-04-24T00:00:00Z,France,Paris,14e arrondissement de Paris,
Antoon van Díck,1599-03-22T00:00:00Z,1641-12-09T00:00:00Z,Pays-Bas méridionaux,Anvers,Londres,peinture baroque
Publius Septimius Geta,0189-03-06T00:00:00Z,0211-12-26T00:00:00Z,Rome antique,Rome,Rome,
Gustave Loiseau,1865-10-03T00:00:00Z,1935-10-10T00:00:00Z,France,Paris,Paris,École de Pont-Aven
Jan Maelwael,1370-01-01T00:00:00Z,1415-03-01T00:00:00Z,France,Nimègue,Dijon,
David d'Angers,1788-03-12T00:00:00Z,1856-01-06T00:00:00Z,France,Angers,Paris,néo-classicisme
Ary Renan,1857-10-28T00:00:00Z,1900-08-04T00:00:00Z,France,Paris,Paris,
Henri Allouard,1844-07-11T00:00:00Z,1929-08-11T00:00:00Z,France,Paris,15e arrondissement de Paris,
Hacynthe rigaud,1659-07-18T00:00:00Z,1743-12-29T00:00:00Z,"France,Principauté de Catalogne",Perpignan,Paris,peinture baroque
Constant Dutilleux,1807-10-05T00:00:00Z,1865-10-21T00:00:00Z,France,Douai,Paris,
Auguste-Barthélemy Glaize,1807-12-15T00:00:00Z,1893-08-08T00:00:00Z,France,Montpellier,Paris,
Maria Anna Angelika Kauffmann,1741-10-30T00:00:00Z,1807-11-05T00:00:00Z,"Suisse,Royaume-Uni de Grande-Bretagne et d'Irlande,Trois Ligues",Coire,Rome,néo-classicisme
Henri Rousseau,1844-05-21T00:00:00Z,1910-09-04T00:00:00Z,France,Laval,Paris,postimpressionnisme
Suzanne Valadon,1865-09-23T00:00:00Z,1938-04-19T00:00:00Z,France,Bessines-sur-Gartempe,Paris,symbolisme
Владимир Лукич Боровиковский,1757-08-04T00:00:00Z,1825-04-18T00:00:00Z,Empire russe,Myrhorod,Saint-Pétersbourg,orientalisme
Lubin Baugin,1612-01-01T00:00:00Z,1663-07-18T00:00:00Z,France,Pithiviers,Paris,
Nicolas-Auguste Galimard,1813-03-25T00:00:00Z,1880-01-16T00:00:00Z,France,Paris,Montigny-lès-Cormeilles,
Jean-Baptiste Le Prince,1734-09-17T00:00:00Z,1781-09-30T00:00:00Z,France,Metz,Lagny-sur-Marne,
Désiré François Laugée,1823-01-25T00:00:00Z,1896-01-24T00:00:00Z,France,Maromme,16e arrondissement de Paris,
Albert Lebourg,1849-02-01T00:00:00Z,1928-01-06T00:00:00Z,France,Montfort-sur-Risle,Rouen,impressionnisme
François-Auguste Ortmans,1826-02-02T00:00:00Z,1884-11-24T00:00:00Z,France,Paris,Paris,
Joseph-Marie Vien,1716-06-18T00:00:00Z,1809-03-27T00:00:00Z,France,Montpellier,Paris,
Marc Chagall,1887-07-07T00:00:00Z,1985-03-28T00:00:00Z,"France,Union des républiques socialistes soviétiques,Empire russe",Liozna,Saint-Paul-de-Vence,expressionnisme
John Everett Millais,1829-06-08T00:00:00Z,1896-08-13T00:00:00Z,Royaume-Uni de Grande-Bretagne et d'Irlande,Southampton,Palace Gate,préraphaélisme
Jean-Auguste Barre,1811-09-25T00:00:00Z,1896-02-04T00:00:00Z,France,Paris,Paris,
Sebastiano del Piombo,1485-01-01T00:00:00Z,1547-07-01T00:00:00Z,république de Venise,Venise,Rome,maniérisme
Pierre-Nicolas Beauvallet,1750-06-21T00:00:00Z,1818-04-15T00:00:00Z,France,Le Havre,Paris,
Raymond Quinsac Monvoisin,1794-08-03T00:00:00Z,1870-03-26T00:00:00Z,France,Bordeaux,Boulogne-sur-Mer,
giotto,1240-01-01T00:00:00Z,1302-01-01T00:00:00Z,République florentine,Florence,Pise,Trecento
Eustache Le Sueur,1616-11-19T00:00:00Z,1655-04-30T00:00:00Z,France,Paris,Paris,baroque
Antoine Étex,1808-03-20T00:00:00Z,1888-07-14T00:00:00Z,France,Paris,Chaville,
Pierre Patel,1604-01-01T00:00:00Z,1676-01-01T00:00:00Z,France,Chauny,Paris,
Philibert-Louis Debucourt,1755-02-13T00:00:00Z,1832-09-22T00:00:00Z,France,Paris,Paris,
Ferdinand Barbedienne,1810-08-06T00:00:00Z,1892-03-21T00:00:00Z,France,L'Oudon,Paris,
Charles Poerson,1609-01-01T00:00:00Z,1667-03-05T00:00:00Z,France,Vic-sur-Seille,Paris,
Hubert-Denis Etxeberri,1867-09-21T00:00:00Z,1952-04-03T00:00:00Z,France,Bayonne,Bayonne,Art déco
Karl Girardet,1813-05-07T00:00:00Z,1871-04-24T00:00:00Z,"Suisse,France",Le Locle,Versailles,
Joshua Reynolds,1723-07-16T00:00:00Z,1792-02-23T00:00:00Z,royaume de Grande-Bretagne,Plympton,Londres,néo-classicisme
Thomas Regnaudin,1622-02-18T00:00:00Z,1706-07-03T00:00:00Z,France,Moulins,Paris,
Paul Gauguin,1848-06-07T00:00:00Z,1903-05-09T00:00:00Z,France,Paris,Fatu-Hiva,symbolisme
André Jolivard,1787-09-15T00:00:00Z,1851-12-08T00:00:00Z,France,Le Mans,Paris,
Joseph Boze,1745-02-07T00:00:00Z,1826-01-17T00:00:00Z,France,Martigues,Paris,
André Mériel-Bussy,1902-01-11T00:00:00Z,1984-10-29T00:00:00Z,France,Fougères,Finistère,
Maurice Denis,1870-11-25T00:00:00Z,1943-11-13T00:00:00Z,France,Granville,hôpital Cochin,symbolisme
Marie-Guillemine Benoist,1768-12-18T00:00:00Z,1826-10-08T00:00:00Z,France,Paris,Paris,néo-classicisme
François Rude,1784-01-04T00:00:00Z,1855-11-03T00:00:00Z,France,Dijon,Paris,
Carmontelle,1717-08-15T00:00:00Z,1806-12-26T00:00:00Z,France,Paris,Paris,
Othon Coubine,1883-10-22T00:00:00Z,1969-10-17T00:00:00Z,"France,Tchécoslovaquie",Boskovice,Malesice,
Isidore Dagnan,1788-09-24T00:00:00Z,1873-11-07T00:00:00Z,France,Marseille,Paris,
Louis Hector Leroux,1829-12-27T00:00:00Z,1900-11-11T00:00:00Z,France,Verdun,Angers,
Toussaint Dubreuil,1561-01-01T00:00:00Z,1602-11-22T00:00:00Z,France,Paris,Paris,École de Fontainebleau
Pablo Picasso,1881-10-25T00:00:00Z,1973-04-08T00:00:00Z,Espagne,Malaga,Mougins,surréalisme
Henry Cros,1840-11-16T00:00:00Z,1907-01-31T00:00:00Z,France,Narbonne,Sèvres,
Paul Sérusier,1864-11-09T00:00:00Z,1927-10-07T00:00:00Z,France,Paris,Morlaix,nabi
Henri Émilien Rousseau,1875-12-17T00:00:00Z,1933-03-28T00:00:00Z,France,Le Caire,Aix-en-Provence,
Vincent Courdouan,1810-03-07T00:00:00Z,1893-12-08T00:00:00Z,France,Toulon,Toulon,
Paul Huet,1803-10-03T00:00:00Z,1869-01-08T00:00:00Z,France,Paris,Paris,romantisme
Mathieu Le Nain,1607-01-01T00:00:00Z,1677-04-20T00:00:00Z,France,Laon,Paris,
Alfred Sisley,1839-10-30T00:00:00Z,1899-01-29T00:00:00Z,"France,Royaume-Uni de Grande-Bretagne et d'Irlande",Paris,Moret-sur-Loing,impressionnisme
Alfred Sisley,1839-10-30T00:00:00Z,1899-01-29T00:00:00Z,"Royaume-Uni de Grande-Bretagne et d'Irlande,France",Paris,Moret-sur-Loing,impressionnisme
Théophile Vauchelet,1802-02-24T00:00:00Z,1873-04-22T00:00:00Z,France,Passy,Paris,art académique
Gilles Guérin,1611-01-01T00:00:00Z,1678-02-26T00:00:00Z,France,Paris,Paris,
Marie d'Orléans,1813-04-12T00:00:00Z,1839-01-06T00:00:00Z,France,Palerme,Pise,
Hippolyte Petitjean,1854-09-11T00:00:00Z,1929-09-18T00:00:00Z,France,Mâcon,Paris,pointillisme
Henri Lebert,1794-11-19T00:00:00Z,1862-09-27T00:00:00Z,France,Thann,Colmar,
Lippo Memmi,1291-01-01T00:00:00Z,1356-01-01T00:00:00Z,Italie,Sienne,Sienne,Pré-Renaissance
Charles-François-Prosper Guérin,1875-02-21T00:00:00Z,1939-03-19T00:00:00Z,France,Sens,11e arrondissement de Paris,
Jean Fautrier,1898-05-16T00:00:00Z,1964-07-21T00:00:00Z,France,8e arrondissement de Paris,Châtenay-Malabry,art informel
Nanine Vallain,,,France,,,néo-classicisme
Eberhart Keilhau,1624-01-01T00:00:00Z,1687-02-03T00:00:00Z,Danemark,Elseneur,Rome,
Paul Dubois,1829-07-18T00:00:00Z,1905-05-23T00:00:00Z,France,Nogent-sur-Seine,Paris,
Pieter Lastman,1583-01-01T00:00:00Z,1633-01-01T00:00:00Z,Pays-Bas,Amsterdam,Amsterdam,
Claude Vignon,1593-05-19T00:00:00Z,1670-05-10T00:00:00Z,France,Tours,Paris,baroque
Alexandre Falguière,1831-09-07T00:00:00Z,1900-04-19T00:00:00Z,France,Toulouse,Paris,réalisme
Léon Cogniet,1794-08-29T00:00:00Z,1880-11-20T00:00:00Z,France,Paris,10e arrondissement de Paris,romantisme
Max G. Kaminski,,,Allemagne,,,
Auguste de Forbin,1777-08-19T00:00:00Z,1841-02-23T00:00:00Z,France,La Roque-d'Anthéron,Paris,
"Mor van Dashorst, Anthonie",1519-01-01T00:00:00Z,1575-01-01T00:00:00Z,"Pays-Bas,Pays-Bas méridionaux",Utrecht,Anvers,Haute Renaissance
Olivier Debré,1920-04-14T00:00:00Z,1999-06-01T00:00:00Z,France,Paris,Paris,abstraction lyrique
Andrea Celesti,1637-01-01T00:00:00Z,1712-01-01T00:00:00Z,république de Venise,Venise,Toscolano-Maderno,
Henri Lehmann,1814-04-14T00:00:00Z,1882-03-30T00:00:00Z,"France,Allemagne",Kiel,8e arrondissement de Paris,
Jean-Louis de Marne,1752-01-22T00:00:00Z,1829-03-24T00:00:00Z,France,Bruxelles,Batignolles,
Jules-Robert Auguste,1789-01-05T00:00:00Z,1850-04-15T00:00:00Z,France,Paris,Paris,
Jules Dupré,1811-04-05T00:00:00Z,1889-10-06T00:00:00Z,France,Nantes,L'Isle-Adam,École de Barbizon
Charles Dupaty,1771-09-29T00:00:00Z,1825-11-12T00:00:00Z,France,Bordeaux,Paris,
Jean-Paul Aubé,1837-07-03T00:00:00Z,1916-08-23T00:00:00Z,France,Longwy,Capbreton,
Jean-Baptiste Marie Pierre,1714-03-06T00:00:00Z,1789-05-15T00:00:00Z,France,Paris,Paris,rococo
Charles Jalabert,1818-12-25T00:00:00Z,1901-03-08T00:00:00Z,France,Nîmes,Paris,
Paul Gauguin,1848-06-07T00:00:00Z,1903-05-09T00:00:00Z,France,Paris,Atuona,symbolisme
Charles Percier,1764-08-22T00:00:00Z,1838-09-05T00:00:00Z,France,Paris,Paris,néo-classicisme
Norbert Gœneutte,1854-07-23T00:00:00Z,1894-10-09T00:00:00Z,France,Paris,Auvers-sur-Oise,
Paul Sébillot,1843-02-06T00:00:00Z,1918-04-23T00:00:00Z,France,Matignon,Paris,École de Pont-Aven
Lou Albert-Lasard,1885-11-10T00:00:00Z,1969-07-21T00:00:00Z,France,Metz,Paris,expressionnisme
François-Gabriel Lépaulle,1804-01-21T00:00:00Z,1886-01-01T00:00:00Z,France,Versailles,Ay,
Jean-François Garneray,1755-01-01T00:00:00Z,1837-06-11T00:00:00Z,France,Paris,Auteuil,
Nicolaus Knüpfer,1609-01-01T00:00:00Z,1660-01-01T00:00:00Z,Pays-Bas,Leipzig,Utrecht,peinture baroque
James Tissot,1836-10-15T00:00:00Z,1902-08-08T00:00:00Z,France,Nantes,Chenecey-Buillon,japonisme
Arthur Grimaud,1784-09-14T00:00:00Z,1869-01-01T00:00:00Z,France,Saint-Louis,Saint-Paul,
Jean Achard,1807-04-17T00:00:00Z,1884-10-02T00:00:00Z,France,Voreppe,Grenoble,
Auguste Raffet,1804-03-02T00:00:00Z,1860-02-16T00:00:00Z,France,Paris,Gênes,
Michel Colombe,1430-01-01T00:00:00Z,1513-01-01T00:00:00Z,France,Bourges,Bourges,
François Verdier,1651-01-01T00:00:00Z,1730-06-20T00:00:00Z,France,Paris,Paris,
Antoine Bourdelle,1861-10-30T00:00:00Z,1929-10-01T00:00:00Z,France,Montauban,Le Vésinet,
Georges Paul Leroux,1877-08-03T00:00:00Z,1957-02-16T00:00:00Z,France,6e arrondissement de Paris,Meudon,
Gossart,1478-01-01T00:00:00Z,1532-10-11T00:00:00Z,Pays-Bas bourguignons,Maubeuge,Bréda,
Charles Amédée Philippe van Loo,1719-08-29T00:00:00Z,1795-11-15T00:00:00Z,France,Rivoli,Paris,
Jean-Baptiste II Lemoyne,1704-02-15T00:00:00Z,1778-05-25T00:00:00Z,France,Paris,Paris,
Jules Ramey,1796-05-24T00:00:00Z,1852-10-29T00:00:00Z,France,Paris,Paris,romantisme
Antoine-Jean Gros,1771-03-16T00:00:00Z,1835-06-26T00:00:00Z,France,Paris,Meudon,néo-classicisme
Eugénie Servières,1786-01-01T00:00:00Z,1855-03-20T00:00:00Z,France,Paris,10e arrondissement de Paris,
Willem van de Velde,1633-12-18T00:00:00Z,1707-04-06T00:00:00Z,Pays-Bas,Leyde,Greenwich,
Hippolyte Flandrin,1809-03-23T00:00:00Z,1864-03-21T00:00:00Z,France,Lyon,Rome,néo-classicisme
Joseph-Nicolas Robert-Fleury,1797-08-08T00:00:00Z,1890-05-05T00:00:00Z,France,Cologne,Paris,
Nicolas Desportes,1718-07-15T00:00:00Z,1787-09-29T00:00:00Z,France,Buzancy,Paris,
Alfred Chataud,1833-08-17T00:00:00Z,1908-05-11T00:00:00Z,France,Marseille,Alger,
Armand Gautier,1825-06-19T00:00:00Z,1894-01-29T00:00:00Z,France,Lille,Paris,
Trophime Bigot,1579-06-18T00:00:00Z,1650-02-21T00:00:00Z,France,Arles,Avignon,baroque
Anna Elizabeth Klumpke,1856-10-28T00:00:00Z,1942-02-09T00:00:00Z,États-Unis,San Francisco,San Francisco,
Augustin Félix Fortin,1763-01-01T00:00:00Z,1832-07-04T00:00:00Z,France,Paris,Paris,
Марк Захарович Шагал,1887-07-07T00:00:00Z,1985-03-28T00:00:00Z,"France,Union des républiques socialistes soviétiques,Empire russe",Liozna,Saint-Paul-de-Vence,expressionnisme
Quinten Massijs,1466-05-05T00:00:00Z,1530-01-01T00:00:00Z,Pays-Bas méridionaux,Louvain,Anvers,Primitif flamand
François-Xavier Fabre,1766-04-01T00:00:00Z,1837-03-16T00:00:00Z,France,Montpellier,Montpellier,
Anicet Charles Gabriel Lemonnier,1743-06-06T00:00:00Z,1824-08-17T00:00:00Z,France,Rouen,Paris,
Μύρων,,,Athènes,,,art de la Grèce antique
Georges d'Espagnat,1870-08-14T00:00:00Z,1950-04-17T00:00:00Z,France,Melun,Paris,
Jacopo Palma il Vecchio,1480-01-01T00:00:00Z,1528-08-09T00:00:00Z,république de Venise,Serina,Venise,École vénitienne
Nicolas-Didier Boguet,1755-02-18T00:00:00Z,1839-04-01T00:00:00Z,France,Chantilly,Rome,néo-classicisme
Auguste Herbin,1882-04-29T00:00:00Z,1960-01-31T00:00:00Z,France,Quiévy,Paris,cubisme
Francisco Pacheco del Río,1566-01-01T00:00:00Z,1644-01-01T00:00:00Z,Espagne,Sanlúcar de Barrameda,Séville,
Alessandro Bonvicino,1498-01-01T00:00:00Z,1554-12-01T00:00:00Z,république de Venise,Rovato,Rovato,Haute Renaissance
Giovanni Battista Piazzetta,1683-02-13T00:00:00Z,1754-04-29T00:00:00Z,république de Venise,Venise,Venise,
Charles-François Hutin,1715-07-04T00:00:00Z,1776-07-29T00:00:00Z,France,Paris,Dresde,
Edward Coley Burne-Jones,1833-08-28T00:00:00Z,1898-06-17T00:00:00Z,Royaume-Uni de Grande-Bretagne et d'Irlande,Birmingham,Londres,préraphaélisme
François-Marie Firmin-Girard,1838-05-29T00:00:00Z,1921-01-01T00:00:00Z,France,Poncin,Montluçon,réalisme
Narcisse Díaz de la Peña,1808-08-20T00:00:00Z,1876-11-18T00:00:00Z,France,Bordeaux,Menton,École de Barbizon
Nicolas de Largillierre,1656-10-20T00:00:00Z,1746-03-20T00:00:00Z,France,Paris,Paris,baroque
Jozef Israëls,1824-01-27T00:00:00Z,1911-08-12T00:00:00Z,Pays-Bas,Groningue,La Haye,École de la Haye
Étienne Jeaurat,1699-02-09T00:00:00Z,1789-12-14T00:00:00Z,France,Paris,Versailles,
Hubert Le Sueur,1580-01-01T00:00:00Z,1658-01-01T00:00:00Z,France,Paris,Londres,
