Référence,Auteurs,anneecreation,titre,Date_acquisition,Entrée_base,Ecole_pays,Identifiant_Museofile,Nom_officiel_musée,genre,Sujet_représenté,Statut_juridique,Mode_acquisition_simplifié,Mode_acquisition,Ville,Région,latitude,Longitude,largeur,hauteur,techniques,support,genre_simplifie,image,image_Bool,datenaissance,anneenaissance,datemort,anneemort,nationalité,lieunaissance,lieumort,mouvement
000PE022927,ZULOAGA Y ZABALETA Ignacio,1931,Carlos de Beistegui,,1999,Espagne,M5031,musée du Louvre,portrait,"portrait (Beistegui Carlos de, homme, assis, de trois-quarts, Mexicain);tableau (portrait, Drouais Mme, femme, en buste, de face, coiffe);tableau (portrait, Panckoucke Mme, femme, à mi-corps, de trois-quarts);sculpture (statue, Apollon)",propriété de l'État,don,donation,Paris,Ile-de-France,48.8589,2.3469,125,146,peinture à l'huile,bois,Portrait,,False,1870-07-26,1870,1945-10-31,1945,Espagne,Eibar,Madrid,Non renseigné
10480005091,WERFF Adriaen van der,1720,Joseph et la femme de Putiphar,1895,2006,Pays-Bas,M1048,musée des Beaux-Arts,Non renseigné,"scène biblique (saint Joseph, femme de Putiphar , chambre, lit, statue, chasteté)",propriété de l'État,mode d'acquisition inconnu,mode d'acquisition inconnu,Chambéry,Auvergne-Rhône-Alpes,45.566108,5.919778,,,peinture à l'huile,toile panneau en bois,Non renseigné,http://commons.wikimedia.org/wiki/Special:FilePath/Adriaen%20van%20der%20Werff%20-%20Jozef%20belaagd%20door%20de%20vrouw%20van%20Potifar%20%28Genesis%2039-12%29%20-%20M%201042%20-%20Mus%C3%A9e%20des%20Beaux-Arts%20de%20Chamb%C3%A9ry.jpg,True,,,,,Non renseigné,Non renseigné,Non renseigné,Non renseigné
10500001865,Anonyme,1524,Portrait de Galeazzo Sanvitale,1893,2004,Italie,M1048,musée des Beaux-Arts,portrait,"portrait (Sanvitale Galeazzo, homme, à mi-corps, barbe, casque, armure)",propriété de la commune,don,legs,Chambéry,Auvergne-Rhône-Alpes,45.566108,5.919778,80,108,peinture à l'huile,bois,Portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Parmigianino%20024.jpg,True,,,,,Non renseigné,Non renseigné,Non renseigné,Non renseigné
11020000034,Anonyme,1801,"Bernard-François Balzac, père d’Honoré (1746-1829)",,2008,,M1102,maison de Balzac,portrait,"portrait (Balzac Bernard François de, homme, en buste, plume, costume : Révolution française)",propriété de la commune,mode d'acquisition inconnu,mode d'acquisition inconnu,Paris,Ile-de-France,48.8589,2.3469,64,65,peinture à l'huile,bois,Portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Bernard-Fran%C3%A7ois%20Balssa%2001.jpg,True,,,,,Non renseigné,Non renseigné,Non renseigné,Non renseigné
11020000035,Anonyme,1801,Laure de Balzac enfant,,2008,,M1102,maison de Balzac,portrait,"portrait (Balzac Laure de, fillette, en buste)",propriété de la commune,mode d'acquisition inconnu,mode d'acquisition inconnu,Paris,Ile-de-France,48.8589,2.3469,30,40,peinture à l'huile,bois,Portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Laure%20de%20Balzac%20enfant.jpg,True,,,,,Non renseigné,Non renseigné,Non renseigné,Non renseigné
11020000072,GOYET Eugène,1840,Louise Béchet,,2008,France,M1102,maison de Balzac,portrait,Non renseigné,propriété de la commune,mode d'acquisition inconnu,mode d'acquisition inconnu,Paris,Ile-de-France,48.8589,2.3469,98,117,peinture à l'huile,bois,Portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Eugene%20Goyet--portrait--Louise%20Bechet--c-1840--Maison%20de%20Balzac.jpg,True,,,,,Non renseigné,Non renseigné,Non renseigné,Non renseigné
11020000106,DARGAUD Paul Joseph Victor,1880,"Hôtel de Balzac. Entrée et façade sur la rue Fortunée, aujourd’hui rue Balzac",,2008,France,M1102,maison de Balzac,paysage,Non renseigné,propriété de la commune,mode d'acquisition inconnu,mode d'acquisition inconnu,Paris,Ile-de-France,48.8589,2.3469,39,33,peinture à l'huile,bois,Paysage,http://commons.wikimedia.org/wiki/Special:FilePath/Dargaud%20-%20H%C3%B4tel%20de%20Balzac.jpg,True,,,,,Non renseigné,Non renseigné,Non renseigné,Non renseigné
11020000146,Anonyme,1880,Joseph Méry,,2008,,M1102,maison de Balzac,portrait,Non renseigné,propriété de la commune,mode d'acquisition inconnu,mode d'acquisition inconnu,Paris,Ile-de-France,48.8589,2.3469,12,17,peinture à l'huile,bois,Portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Joseph%20M%C3%A9ry.jpg,True,,,,,Non renseigné,Non renseigné,Non renseigné,Non renseigné
11020000147,GIGOUX Jean,1880,"Le salon de Madame de Balzac, rue Fortunée",,2008,,M1102,maison de Balzac,Non renseigné,Non renseigné,propriété de la commune,mode d'acquisition inconnu,mode d'acquisition inconnu,Paris,Ile-de-France,48.8589,2.3469,98,78,peinture à l'huile,bois,Non renseigné,http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20Gigoux%20-%20Le%20salon%20de%20Madame%20de%20Balzac%2C%20rue%20Fortun%C3%A9e.jpg,True,1806-01-08,1806,1894-12-12,1894,France,Besançon,Besançon,Non renseigné
11020000199,RIESENER Léon,1850,Théophile Gautier,,2008,France,M1102,maison de Balzac,Non renseigné,"portrait (Gautier Théophile, en buste, journaliste, homme de lettres : poésie)",propriété de la commune,mode d'acquisition inconnu,mode d'acquisition inconnu,Paris,Ile-de-France,48.8589,2.3469,,,pastel,Non renseigné,Non renseigné,http://commons.wikimedia.org/wiki/Special:FilePath/Th%C3%A9o%20Gautier.jpg,True,1808-01-21,1808,1878-05-25,1878,France,Paris,Paris,romantisme
11020000200,GAUTIER Théophile,1829,Portrait de femme,,2008,France,M1102,maison de Balzac,portrait,Non renseigné,propriété de la commune,mode d'acquisition inconnu,mode d'acquisition inconnu,Paris,Ile-de-France,48.8589,2.3469,24,32,peinture à l'huile,bois,Portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Th%C3%A9ophile%20Gautier%20-%20Portrait%20de%20femme.jpg,True,1811-08-31,1811,1872-10-23,1872,France,Tarbes,Neuilly-sur-Seine,romantisme
11020000201,GAUTIER Théophile,1829,Portrait de femme,,2008,France,M1102,maison de Balzac,portrait,Non renseigné,propriété de la commune,mode d'acquisition inconnu,mode d'acquisition inconnu,Paris,Ile-de-France,48.8589,2.3469,24,32,peinture à l'huile,bois,Portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Th%C3%A9ophile%20Gautier%20-%20Portrait%20de%20femme%20brune.jpg,True,1811-08-31,1811,1872-10-23,1872,France,Tarbes,Neuilly-sur-Seine,romantisme
11020000205,GAUTIER Théophile,1829,Portrait d'Ernesta Grisi,,2008,,M1102,maison de Balzac,portrait,Non renseigné,propriété de la commune,mode d'acquisition inconnu,mode d'acquisition inconnu,Paris,Ile-de-France,48.8589,2.3469,14,16,peinture à l'huile,bois,Portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20d%27Ernesta%20Grisi.jpg,True,,,,,Non renseigné,Non renseigné,Non renseigné,Non renseigné
11040000304,Anonyme,1701,"A la bonne bouteille. Enseigne de marchands de vin, Paris",,2008,,M1104,musée Carnavalet – histoire de Paris,Non renseigné,Non renseigné,propriété de la commune,mode d'acquisition inconnu,mode d'acquisition inconnu,Paris,Ile-de-France,48.8589,2.3469,66,98,Non renseigné,Non renseigné,Non renseigné,http://commons.wikimedia.org/wiki/Special:FilePath/Anonymous%20-%20A%20la%20bonne%20bouteille.%20Enseigne%20de%20marchands%20de%20vin%2C%20Paris%20-%20EN4%20-%20Mus%C3%A9e%20Carnavalet.jpg,True,,,,,Non renseigné,Non renseigné,Non renseigné,Non renseigné
11040000305,Anonyme,1801,Au bœuf normand. Enseigne d'aubergiste. Paris,,2008,,M1104,musée Carnavalet – histoire de Paris,Non renseigné,Non renseigné,propriété de la commune,mode d'acquisition inconnu,mode d'acquisition inconnu,Paris,Ile-de-France,48.8589,2.3469,99,100,Non renseigné,Non renseigné,Non renseigné,,False,,,,,Non renseigné,Non renseigné,Non renseigné,Non renseigné
11040000306,Anonyme,1801,L'Epoque. Enseigne de journal. Paris,,2008,,M1104,musée Carnavalet – histoire de Paris,Non renseigné,Non renseigné,propriété de la commune,mode d'acquisition inconnu,mode d'acquisition inconnu,Paris,Ile-de-France,48.8589,2.3469,35,35,Non renseigné,Non renseigné,Non renseigné,,False,,,,,Non renseigné,Non renseigné,Non renseigné,Non renseigné
11040000342,BELLAN Henri Ferdinand,1888,La démolition de la Halle au blé,1896,2008,France,M1104,musée Carnavalet – histoire de Paris,Non renseigné,"paysage (Paris, cadre urbain, charrette, démolition)",propriété de la commune,mode d'acquisition inconnu,mode d'acquisition inconnu,Paris,Ile-de-France,48.8589,2.3469,99,73,Non renseigné,Non renseigné,Non renseigné,http://commons.wikimedia.org/wiki/Special:FilePath/Henri%20Ferdinand%20Bellan%20-%20La%20d%C3%A9molition%20de%20la%20Halle%20au%20bl%C3%A9%20-%20P3%20-%20Mus%C3%A9e%20Carnavalet.jpg,True,,,,,Non renseigné,Non renseigné,Non renseigné,Non renseigné
11040000343,BOZE Joseph,1793,"Portrait de Jean-Paul Marat (1743-1793), homme politique",1883,2008,France,M1104,musée Carnavalet – histoire de Paris,portrait,"portrait (Marat Jean-Paul, homme politique, en buste)",propriété de la commune,mode d'acquisition inconnu,mode d'acquisition inconnu,Paris,Ile-de-France,48.8589,2.3469,68,75,peinture à l'huile,Non renseigné,Portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Paul%20Marat%20portre.jpg,True,1745-02-07,1745,1826-01-17,1826,France,Martigues,Paris,Non renseigné
11040000346,COUTURE Thomas,1865,"Portrait de Jules Michelet (1798-1874), historien",1898,2008,France,M1104,musée Carnavalet – histoire de Paris,portrait,"portrait (Michelet Jules, historien, assis, livre)",propriété de la commune,mode d'acquisition inconnu,mode d'acquisition inconnu,Paris,Ile-de-France,48.8589,2.3469,153,204,peinture à l'huile,bois,Portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Jules%20Michelet%20par%20Thomas%20Couture.jpg,True,1815-12-21,1815,1879-03-30,1879,France,Senlis,Villiers-le-Bel,art académique
11040000348,DELANCE Paul Louis,1889,"La Tour Eiffel et le Champ-de-Mars, en janvier 1889 : les travaux de l'exposition universelle",,2008,France,M1104,musée Carnavalet – histoire de Paris,paysage,"paysage (Paris, cadre urbain, exposition universelle, tour)",propriété de la commune,mode d'acquisition inconnu,mode d'acquisition inconnu,Paris,Ile-de-France,48.8589,2.3469,208,143,peinture à l'huile,bois,Paysage,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Louis%20Delance%20Tour%20Eiffel.jpg,True,,,,,Non renseigné,Non renseigné,Non renseigné,Non renseigné
11040000349,DUBOIS François,1836,"Érection de l'obélisque de Louqsor sur la place de la Concorde, le 25 octobre 1836",1900,2008,France,M1104,musée Carnavalet – histoire de Paris,Non renseigné,"scène historique (Paris, place, obélisque)",propriété de la commune,mode d'acquisition inconnu,mode d'acquisition inconnu,Paris,Ile-de-France,48.8589,2.3469,126,92,peinture à l'huile,bois,Non renseigné,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89rection%20de%20l%27ob%C3%A9lisque%20de%20Louqsor%20sur%20la%20place%20de%20la%20Concorde.jpg,True,1790-05-10,1790,1871-02-09,1871,France,Paris,Paris,orientalisme
11040000351,GUILLIER Emile,1879,Les canards du Bois de Boulogne - décembre 1879,1898,2008,France,M1104,musée Carnavalet – histoire de Paris,Non renseigné,"paysage (Paris, parc, promenade, femme, fillette, lac, canard, hiver, neige)",propriété de la commune,mode d'acquisition inconnu,mode d'acquisition inconnu,Paris,Ile-de-France,48.8589,2.3469,96,81,peinture à l'huile,Non renseigné,Non renseigné,,False,,,,,Non renseigné,Non renseigné,Non renseigné,Non renseigné
11040000352,ROBERT Hubert,1781,"La Démolition des maisons du pont Notre-Dame, en 1786",1898,2008,France,M1104,musée Carnavalet – histoire de Paris,paysage,"paysage (Paris, démolition, pont)",propriété de la commune,mode d'acquisition inconnu,mode d'acquisition inconnu,Paris,Ile-de-France,48.8589,2.3469,,,peinture à l'huile,bois,Paysage,http://commons.wikimedia.org/wiki/Special:FilePath/Destruction%20of%20the%20houses%20on%20Pont%20Notre%20Dame%20in%201786%20by%20Hubert%20Robert%201733%201808.jpg,True,1733-05-22,1733,1808-04-15,1808,France,Paris,Paris,préromantisme
11040000353,JANET Ange Louis,1848,La République,1889,2008,France,M1104,musée Carnavalet – histoire de Paris,allégorie,"figure (allégorie : république, femme, assis, couronne, flambeau : effet de lumière, balance, allégorie : agriculture, bonnet phrygien, coq, outil agricole, sphère)",propriété de la commune,mode d'acquisition inconnu,mode d'acquisition inconnu,Paris,Ile-de-France,48.8589,2.3469,73,86,peinture à l'huile,Non renseigné,Allégorie,http://commons.wikimedia.org/wiki/Special:FilePath/Ange-Louis%20Janet%20-%20La%20R%C3%A9publique%20-%20P188%20-%20Mus%C3%A9e%20Carnavalet.jpg,True,,,,,Non renseigné,Non renseigné,Non renseigné,Non renseigné
11040000354,LALLEMAND Jean-Baptiste,1775,"Vue de Notre-Dame, de l'archevêché et du quai des Bernardins, vers 1775",1889,2008,France,M1104,musée Carnavalet – histoire de Paris,Non renseigné,"paysage (Paris, cadre urbain, cathédrale, Seine, pont, bateau, personnage)",propriété de la commune,mode d'acquisition inconnu,mode d'acquisition inconnu,Paris,Ile-de-France,48.8589,2.3469,95,68,peinture à l'huile,Non renseigné,Non renseigné,,False,1716-08-17,1716,1803-01-01,1803,France,Dijon,Paris,Non renseigné
11040000355,LANSYER Emmanuel,1886,"Vue intérieure de l'ancienne Halle au blé, en 1886",1889,2008,France,M1104,musée Carnavalet – histoire de Paris,Non renseigné,"vue d'intérieur (Paris, halle, arcade)",propriété de la commune,mode d'acquisition inconnu,mode d'acquisition inconnu,Paris,Ile-de-France,48.8589,2.3469,46,38,Non renseigné,Non renseigné,Non renseigné,,False,,,,,Non renseigné,Non renseigné,Non renseigné,Non renseigné
11040000356,LARGILLIERE Nicolas de,1702,"Portrait de deux échevins en fonction en 1702 : Hugues Desnotz, à droite, et un inconnu, supposé Boutet, à gauche (fragment)",1867,2008,France,M1104,musée Carnavalet – histoire de Paris,portrait,"portrait collectif (homme, juge, en buste, habit, perruque)",propriété de la commune,mode d'acquisition inconnu,mode d'acquisition inconnu,Paris,Ile-de-France,48.8589,2.3469,183,151,Non renseigné,Non renseigné,Portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Nicolas%20de%20Largillierre%20-%20Portrait%20de%20deux%20%C3%A9chevins%20en%20fonction%20en%201702%20%2C%20Hugues%20Desnotz%2C%20%C3%A0%20droite%2C%20et%20un%20inconnu%2C%20suppos%C3%A9%20Boutet%2C%20%C3%A0%20gauche%20%28fragment%29%20-%20P209%20-%20Mus%C3%A9e%20Carnavalet.jpg,True,1656-10-20,1656,1746-03-20,1746,France,Paris,Paris,baroque
11040000358,PILLE Charles Henri,1870,Cantine municipale pendant le siège de Paris (1870-1871),1900,2008,France,M1104,musée Carnavalet – histoire de Paris,Non renseigné,"scène historique (Paris, cadre urbain, guerre de siège, magasin, repas, foule, drapeau (Français))",propriété de la commune,mode d'acquisition inconnu,mode d'acquisition inconnu,Paris,Ile-de-France,48.8589,2.3469,95,78,Non renseigné,Non renseigné,Non renseigné,http://commons.wikimedia.org/wiki/Special:FilePath/Henri%20Pille%20-%20Cantine%20municipale%20pendant%20le%20si%C3%A8ge%20de%20Paris%20%281870-1871%29%20-%20P259%20-%20Mus%C3%A9e%20Carnavalet.jpg,True,1844-01-04,1844,1897-03-04,1897,France,Essômes-sur-Marne,Paris,Non renseigné
11040000359,POTEMONT Martial,1862,Vue générale des théâtres du boulevard du Temple en 1862,1882,2008,France,M1104,musée Carnavalet – histoire de Paris,Non renseigné,"vue d'architecture (Paris, cadre urbain, rue, théâtre, débit de boisson, voiture à attelage, personnage)",propriété de la commune,mode d'acquisition inconnu,mode d'acquisition inconnu,Paris,Ile-de-France,48.8589,2.3469,200,84,peinture à l'huile,Non renseigné,Non renseigné,http://commons.wikimedia.org/wiki/Special:FilePath/AdolpheMartialPotemontLeboulevardDuTemple1862.JPG,True,1828-02-10,1828,1883-10-14,1883,France,Paris,Paris,Non renseigné
11040000360,RAGUENET Nicolas Jean-Baptiste,1772,"Le Pont-Neuf et la Cité, vus du quai de Conti",1882,2008,France,M1104,musée Carnavalet – histoire de Paris,Non renseigné,"paysage (Paris, cadre urbain, Seine, voiture, rue)",propriété de la commune,mode d'acquisition inconnu,mode d'acquisition inconnu,Paris,Ile-de-France,48.8589,2.3469,83,46,Non renseigné,Non renseigné,Non renseigné,http://commons.wikimedia.org/wiki/Special:FilePath/Nicolas%20Jean-Baptiste%20Raguenet%20-%20Le%20Pont-Neuf%20et%20la%20Cit%C3%A9%2C%20vus%20du%20quai%20de%20Conti%20-%20P270%20-%20Mus%C3%A9e%20Carnavalet.jpg,True,1715-01-01,1715,1793-04-17,1793,France,Paris,Gentilly,Non renseigné
11040000361,RAGUENET Nicolas Jean-Baptiste,1760,"Le Louvre, le Pont-Neuf et le quai des Orfèvres, vus du quai des Grands-Augustins",1882,2008,France,M1104,musée Carnavalet – histoire de Paris,Non renseigné,"paysage;vue d'architecture (Paris, Seine, pont, palais)",propriété de la commune,achat,achat,Paris,Ile-de-France,48.8589,2.3469,84,47,Non renseigné,Non renseigné,Non renseigné,http://commons.wikimedia.org/wiki/Special:FilePath/Nicolas-Jean-Baptiste%20Raguenet%2C%20Le%20Louvre%2C%20le%20Pont-Neuf%20et%20le%20quai%20des%20Orf%C3%A8vres%2C%20vus%20du%20quai%20des%20Grands-Augustins%20%E2%80%93%20Paris%20Mus%C3%A9es.jpg,True,1715-01-01,1715,1793-04-17,1793,France,Paris,Gentilly,Non renseigné
11040000362,REGNIER Auguste Jacques,1815,La Voûte du quai de Gesvres,1890,2008,France,M1104,musée Carnavalet – histoire de Paris,Non renseigné,vue d'architecture (voûte),propriété de la commune,mode d'acquisition inconnu,mode d'acquisition inconnu,Paris,Ile-de-France,48.8589,2.3469,72,43,Non renseigné,Non renseigné,Non renseigné,http://commons.wikimedia.org/wiki/Special:FilePath/Auguste%20Jacques%20R%C3%A9gnier%20-%20La%20Vo%C3%BBte%20du%20quai%20de%20Gesvres%20-%20P291%20-%20Mus%C3%A9e%20Carnavalet.jpg,True,1787-08-30,1787,1860-06-02,1860,France,Paris,Paris,romantisme
11040000363,VITTORI H,1862,L'attentat d'Orsini devant la façade de l'Opéra le 14 janvier 1858,1892,2008,,M1104,musée Carnavalet – histoire de Paris,Non renseigné,"scène historique (attentat, foule, cheval, voiture, explosion);Paris;opéra",propriété de la commune,mode d'acquisition inconnu,mode d'acquisition inconnu,Paris,Ile-de-France,48.8589,2.3469,189,123,Non renseigné,Non renseigné,Non renseigné,,False,,,,,Non renseigné,Non renseigné,Non renseigné,Non renseigné
11040000364,SCHAAN Paul,1894,"Vue panoramique de Paris, prise des hauteurs de Ménilmontant",1902,2008,,M1104,musée Carnavalet – histoire de Paris,Non renseigné,"paysage (Paris, cadre urbain, cheval)",propriété de la commune,mode d'acquisition inconnu,mode d'acquisition inconnu,Paris,Ile-de-France,48.8589,2.3469,187,117,Non renseigné,Non renseigné,Non renseigné,,False,,,,,Non renseigné,Non renseigné,Non renseigné,Non renseigné
11040000365,VERWER Abraham de,1640,La Grande Galerie du Louvre avec la porte Neuve et la tour de Bois,1890,2008,Pays-Bas,M1104,musée Carnavalet – histoire de Paris,Non renseigné,"paysage (Paris, cadre urbain, Seine)",propriété de la commune,mode d'acquisition inconnu,mode d'acquisition inconnu,Paris,Ile-de-France,48.8589,2.3469,88,53,peinture à l'huile,bois,Non renseigné,http://commons.wikimedia.org/wiki/Special:FilePath/Abraham%20de%20Verwer%20-%20La%20Grande%20Galerie%20du%20Louvre%20avec%20la%20porte%20Neuve%20et%20la%20tour%20de%20Bois%20-%20P331%20-%20Mus%C3%A9e%20Carnavalet.jpg,True,,,,,Non renseigné,Non renseigné,Non renseigné,Non renseigné
11040000366,VERWER Abraham de,1640,La Grande Galerie du Louvre avec la porte Neuve et la tour de Bois,1890,2008,Pays-Bas,M1104,musée Carnavalet – histoire de Paris,Non renseigné,"paysage (Paris, cadre urbain, Seine)",propriété de la commune,mode d'acquisition inconnu,mode d'acquisition inconnu,Paris,Ile-de-France,48.8589,2.3469,59,37,peinture à l'huile,bois,Non renseigné,http://commons.wikimedia.org/wiki/Special:FilePath/Anonymous%20-%20La%20Grande%20Galerie%20du%20Louvre%20avec%20la%20porte%20Neuve%20et%20la%20tour%20de%20Bois%20-%20P333%20-%20Mus%C3%A9e%20Carnavalet.jpg,True,,,,,Non renseigné,Non renseigné,Non renseigné,Non renseigné
11040000367,Anonyme,1701,Portrait de Charlotte Corday (1768-1793) au moment où elle vient d'assassiner Marat,1881,2008,,M1104,musée Carnavalet – histoire de Paris,portrait,"Scène historique (Corday Charlotte, couvre-chef, couteau, meurtre, Marat Jean-Paul, nu, baignoire, meuble, sculpture : Le Peletier de Saint-Fargeau Louis Michel)",propriété de la commune,mode d'acquisition inconnu,mode d'acquisition inconnu,Paris,Ile-de-France,48.8589,2.3469,43,50,Non renseigné,Non renseigné,Portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Anonymous%20-%20Portrait%20de%20Charlotte%20Corday%20%281768-1793%29%20au%20moment%20o%C3%B9%20elle%20vient%20d%27assassiner%20Marat%20-%20P415%20-%20Mus%C3%A9e%20Carnavalet.jpg,True,,,,,Non renseigné,Non renseigné,Non renseigné,Non renseigné
